 isE2: E_i      B_i
   24.8252950598861       0.452363091559540     
   25.9767136451823        68.9167755324773     
   28.4105716769787       7.371239441378677E-006
   35.7601241490927       8.329101380789430E-003
   36.6604428976036       0.318002167047227     
   37.0972380794480       2.086621824764474E-002
   37.4930036414614       1.247990343140313E-003
   38.7966589924083       2.296891623779927E-004
   39.6124123866427       5.853566222708565E-005
   42.4238100692119       0.230703468001904     
   43.2853412489645       2.939366379815437E-003
   44.6415981835475       8.767859507391979E-004
   46.6519958244359       3.860905890742744E-003
   47.4166361405806       5.021125159991629E-002
   54.1061855868580       1.750526563017604E-004
   55.4946866384764       5.928825013347500E-003
