 Total dimension =        38412
 n             i         j         k         Jab          Tab         Ttot
         12389        10         6        16         4         1         1
         12390        10         6        16         4         1         3
         12391        10         6        16         5         0         1
         12392        10         6        16         5         1         1
         12393        10         6        16         5         1         3
         12394        10         6        16         6         0         1
         12395        10         6        16         6         1         1
         12396        10         6        16         6         1         3
         12397        10         6        17         1         0         1
         12398        10         6        17         1         1         1
         12399        10         6        17         1         1         3
         12400        10         6        17         2         0         1
         12401        10         6        17         2         1         1
         12402        10         6        17         2         1         3
         12403        10         6        17         3         0         1
         12404        10         6        17         3         1         1
         12405        10         6        17         3         1         3
         12406        10         6        17         4         0         1
         12407        10         6        17         4         1         1
         12408        10         6        17         4         1         3
         12409        10         6        17         5         0         1
         12410        10         6        17         5         1         1
         12411        10         6        17         5         1         3
         12412        10         6        17         6         0         1
         12413        10         6        17         6         1         1
         12414        10         6        17         6         1         3
         12415        10         6        18         1         0         1
         12416        10         6        18         1         1         1
         12417        10         6        18         1         1         3
         12418        10         6        18         2         0         1
         12419        10         6        18         2         1         1
         12420        10         6        18         2         1         3
         12421        10         6        18         3         0         1
         12422        10         6        18         3         1         1
         12423        10         6        18         3         1         3
         12424        10         6        18         4         0         1
         12425        10         6        18         4         1         1
         12426        10         6        18         4         1         3
         12427        10         6        18         5         0         1
         12428        10         6        18         5         1         1
         12429        10         6        18         5         1         3
         12430        10         6        18         6         0         1
         12431        10         6        18         6         1         1
         12432        10         6        18         6         1         3
         12433        10         6        19         1         0         1
         12434        10         6        19         1         1         1
         12435        10         6        19         1         1         3
         12436        10         6        19         2         0         1
         12437        10         6        19         2         1         1
         12438        10         6        19         2         1         3
         12439        10         6        19         3         0         1
         12440        10         6        19         3         1         1
         12441        10         6        19         3         1         3
         12442        10         6        19         4         0         1
         12443        10         6        19         4         1         1
         12444        10         6        19         4         1         3
         12445        10         6        19         5         0         1
         12446        10         6        19         5         1         1
         12447        10         6        19         5         1         3
         12448        10         6        19         6         0         1
         12449        10         6        19         6         1         1
         12450        10         6        19         6         1         3
         12451        10         6        20         1         0         1
         12452        10         6        20         1         1         1
         12453        10         6        20         1         1         3
         12454        10         6        20         2         0         1
         12455        10         6        20         2         1         1
         12456        10         6        20         2         1         3
         12457        10         6        20         3         0         1
         12458        10         6        20         3         1         1
         12459        10         6        20         3         1         3
         12460        10         6        20         4         0         1
         12461        10         6        20         4         1         1
         12462        10         6        20         4         1         3
         12463        10         6        20         5         0         1
         12464        10         6        20         5         1         1
         12465        10         6        20         5         1         3
         12466        10         6        20         6         0         1
         12467        10         6        20         6         1         1
         12468        10         6        20         6         1         3
         12469        10         6        21         1         0         1
         12470        10         6        21         1         1         1
         12471        10         6        21         1         1         3
         12472        10         6        21         2         0         1
         12473        10         6        21         2         1         1
         12474        10         6        21         2         1         3
         12475        10         6        21         3         0         1
         12476        10         6        21         3         1         1
         12477        10         6        21         3         1         3
         12478        10         6        21         4         0         1
         12479        10         6        21         4         1         1
         12480        10         6        21         4         1         3
         12481        10         6        21         5         0         1
         12482        10         6        21         5         1         1
         12483        10         6        21         5         1         3
         12484        10         6        21         6         0         1
         12485        10         6        21         6         1         1
         12486        10         6        21         6         1         3
         12487        10         7         1         3         0         1
         12488        10         7         1         3         1         1
         12489        10         7         1         3         1         3
         12490        10         7         1         4         0         1
         12491        10         7         1         4         1         1
         12492        10         7         1         4         1         3
         12493        10         7         2         3         0         1
         12494        10         7         2         3         1         1
         12495        10         7         2         3         1         3
         12496        10         7         2         4         0         1
         12497        10         7         2         4         1         1
         12498        10         7         2         4         1         3
         12499        10         7         3         3         0         1
         12500        10         7         3         3         1         1
         12501        10         7         3         3         1         3
         12502        10         7         3         4         0         1
         12503        10         7         3         4         1         1
         12504        10         7         3         4         1         3
         12505        10         7         4         3         0         1
         12506        10         7         4         3         1         1
         12507        10         7         4         3         1         3
         12508        10         7         4         4         0         1
         12509        10         7         4         4         1         1
         12510        10         7         4         4         1         3
         12511        10         7         5         3         0         1
         12512        10         7         5         3         1         1
         12513        10         7         5         3         1         3
         12514        10         7         5         4         0         1
         12515        10         7         5         4         1         1
         12516        10         7         5         4         1         3
         12517        10         7         6         3         0         1
         12518        10         7         6         3         1         1
         12519        10         7         6         3         1         3
         12520        10         7         6         4         0         1
         12521        10         7         6         4         1         1
         12522        10         7         6         4         1         3
         12523        10         7         7         3         0         1
         12524        10         7         7         3         1         1
         12525        10         7         7         3         1         3
         12526        10         7         7         4         0         1
         12527        10         7         7         4         1         1
         12528        10         7         7         4         1         3
         12529        10         7         8         3         0         1
         12530        10         7         8         3         1         1
         12531        10         7         8         3         1         3
         12532        10         7         8         4         0         1
         12533        10         7         8         4         1         1
         12534        10         7         8         4         1         3
         12535        10         7         9         3         0         1
         12536        10         7         9         3         1         1
         12537        10         7         9         3         1         3
         12538        10         7         9         4         0         1
         12539        10         7         9         4         1         1
         12540        10         7         9         4         1         3
         12541        10         7        10         3         0         1
         12542        10         7        10         3         1         1
         12543        10         7        10         3         1         3
         12544        10         7        10         4         0         1
         12545        10         7        10         4         1         1
         12546        10         7        10         4         1         3
         12547        10         7        11         3         0         1
         12548        10         7        11         3         1         1
         12549        10         7        11         3         1         3
         12550        10         7        11         4         0         1
         12551        10         7        11         4         1         1
         12552        10         7        11         4         1         3
         12553        10         7        12         3         0         1
         12554        10         7        12         3         1         1
         12555        10         7        12         3         1         3
         12556        10         7        12         4         0         1
         12557        10         7        12         4         1         1
         12558        10         7        12         4         1         3
         12559        10         7        13         3         0         1
         12560        10         7        13         3         1         1
         12561        10         7        13         3         1         3
         12562        10         7        13         4         0         1
         12563        10         7        13         4         1         1
         12564        10         7        13         4         1         3
         12565        10         7        14         3         0         1
         12566        10         7        14         3         1         1
         12567        10         7        14         3         1         3
         12568        10         7        14         4         0         1
         12569        10         7        14         4         1         1
         12570        10         7        14         4         1         3
         12571        10         7        15         3         0         1
         12572        10         7        15         3         1         1
         12573        10         7        15         3         1         3
         12574        10         7        15         4         0         1
         12575        10         7        15         4         1         1
         12576        10         7        15         4         1         3
         12577        10         8         1         2         0         1
         12578        10         8         1         2         1         1
         12579        10         8         1         2         1         3
         12580        10         8         1         3         0         1
         12581        10         8         1         3         1         1
         12582        10         8         1         3         1         3
         12583        10         8         1         4         0         1
         12584        10         8         1         4         1         1
         12585        10         8         1         4         1         3
         12586        10         8         1         5         0         1
         12587        10         8         1         5         1         1
         12588        10         8         1         5         1         3
         12589        10         8         2         2         0         1
         12590        10         8         2         2         1         1
         12591        10         8         2         2         1         3
         12592        10         8         2         3         0         1
         12593        10         8         2         3         1         1
         12594        10         8         2         3         1         3
         12595        10         8         2         4         0         1
         12596        10         8         2         4         1         1
         12597        10         8         2         4         1         3
         12598        10         8         2         5         0         1
         12599        10         8         2         5         1         1
         12600        10         8         2         5         1         3
         12601        10         8         3         2         0         1
         12602        10         8         3         2         1         1
         12603        10         8         3         2         1         3
         12604        10         8         3         3         0         1
         12605        10         8         3         3         1         1
         12606        10         8         3         3         1         3
         12607        10         8         3         4         0         1
         12608        10         8         3         4         1         1
         12609        10         8         3         4         1         3
         12610        10         8         3         5         0         1
         12611        10         8         3         5         1         1
         12612        10         8         3         5         1         3
         12613        10         8         4         2         0         1
         12614        10         8         4         2         1         1
         12615        10         8         4         2         1         3
         12616        10         8         4         3         0         1
         12617        10         8         4         3         1         1
         12618        10         8         4         3         1         3
         12619        10         8         4         4         0         1
         12620        10         8         4         4         1         1
         12621        10         8         4         4         1         3
         12622        10         8         4         5         0         1
         12623        10         8         4         5         1         1
         12624        10         8         4         5         1         3
         12625        10         8         5         2         0         1
         12626        10         8         5         2         1         1
         12627        10         8         5         2         1         3
         12628        10         8         5         3         0         1
         12629        10         8         5         3         1         1
         12630        10         8         5         3         1         3
         12631        10         8         5         4         0         1
         12632        10         8         5         4         1         1
         12633        10         8         5         4         1         3
         12634        10         8         5         5         0         1
         12635        10         8         5         5         1         1
         12636        10         8         5         5         1         3
         12637        10         8         6         2         0         1
         12638        10         8         6         2         1         1
         12639        10         8         6         2         1         3
         12640        10         8         6         3         0         1
         12641        10         8         6         3         1         1
         12642        10         8         6         3         1         3
         12643        10         8         6         4         0         1
         12644        10         8         6         4         1         1
         12645        10         8         6         4         1         3
         12646        10         8         6         5         0         1
         12647        10         8         6         5         1         1
         12648        10         8         6         5         1         3
         12649        10         8         7         2         0         1
         12650        10         8         7         2         1         1
         12651        10         8         7         2         1         3
         12652        10         8         7         3         0         1
         12653        10         8         7         3         1         1
         12654        10         8         7         3         1         3
         12655        10         8         7         4         0         1
         12656        10         8         7         4         1         1
         12657        10         8         7         4         1         3
         12658        10         8         7         5         0         1
         12659        10         8         7         5         1         1
         12660        10         8         7         5         1         3
         12661        10         8         8         2         0         1
         12662        10         8         8         2         1         1
         12663        10         8         8         2         1         3
         12664        10         8         8         3         0         1
         12665        10         8         8         3         1         1
         12666        10         8         8         3         1         3
         12667        10         8         8         4         0         1
         12668        10         8         8         4         1         1
         12669        10         8         8         4         1         3
         12670        10         8         8         5         0         1
         12671        10         8         8         5         1         1
         12672        10         8         8         5         1         3
         12673        10         8         9         2         0         1
         12674        10         8         9         2         1         1
         12675        10         8         9         2         1         3
         12676        10         8         9         3         0         1
         12677        10         8         9         3         1         1
         12678        10         8         9         3         1         3
         12679        10         8         9         4         0         1
         12680        10         8         9         4         1         1
         12681        10         8         9         4         1         3
         12682        10         8         9         5         0         1
         12683        10         8         9         5         1         1
         12684        10         8         9         5         1         3
         12685        10         8        10         2         0         1
         12686        10         8        10         2         1         1
         12687        10         8        10         2         1         3
         12688        10         8        10         3         0         1
         12689        10         8        10         3         1         1
         12690        10         8        10         3         1         3
         12691        10         8        10         4         0         1
         12692        10         8        10         4         1         1
         12693        10         8        10         4         1         3
         12694        10         8        10         5         0         1
         12695        10         8        10         5         1         1
         12696        10         8        10         5         1         3
         12697        10         8        11         2         0         1
         12698        10         8        11         2         1         1
         12699        10         8        11         2         1         3
         12700        10         8        11         3         0         1
         12701        10         8        11         3         1         1
         12702        10         8        11         3         1         3
         12703        10         8        11         4         0         1
         12704        10         8        11         4         1         1
         12705        10         8        11         4         1         3
         12706        10         8        11         5         0         1
         12707        10         8        11         5         1         1
         12708        10         8        11         5         1         3
         12709        10         8        12         2         0         1
         12710        10         8        12         2         1         1
         12711        10         8        12         2         1         3
         12712        10         8        12         3         0         1
         12713        10         8        12         3         1         1
         12714        10         8        12         3         1         3
         12715        10         8        12         4         0         1
         12716        10         8        12         4         1         1
         12717        10         8        12         4         1         3
         12718        10         8        12         5         0         1
         12719        10         8        12         5         1         1
         12720        10         8        12         5         1         3
         12721        10         8        13         2         0         1
         12722        10         8        13         2         1         1
         12723        10         8        13         2         1         3
         12724        10         8        13         3         0         1
         12725        10         8        13         3         1         1
         12726        10         8        13         3         1         3
         12727        10         8        13         4         0         1
         12728        10         8        13         4         1         1
         12729        10         8        13         4         1         3
         12730        10         8        13         5         0         1
         12731        10         8        13         5         1         1
         12732        10         8        13         5         1         3
         12733        10         8        14         2         0         1
         12734        10         8        14         2         1         1
         12735        10         8        14         2         1         3
         12736        10         8        14         3         0         1
         12737        10         8        14         3         1         1
         12738        10         8        14         3         1         3
         12739        10         8        14         4         0         1
         12740        10         8        14         4         1         1
         12741        10         8        14         4         1         3
         12742        10         8        14         5         0         1
         12743        10         8        14         5         1         1
         12744        10         8        14         5         1         3
         12745        10         8        15         2         0         1
         12746        10         8        15         2         1         1
         12747        10         8        15         2         1         3
         12748        10         8        15         3         0         1
         12749        10         8        15         3         1         1
         12750        10         8        15         3         1         3
         12751        10         8        15         4         0         1
         12752        10         8        15         4         1         1
         12753        10         8        15         4         1         3
         12754        10         8        15         5         0         1
         12755        10         8        15         5         1         1
         12756        10         8        15         5         1         3
         12757        10         9         1         1         0         1
         12758        10         9         1         1         1         1
         12759        10         9         1         1         1         3
         12760        10         9         1         2         0         1
         12761        10         9         1         2         1         1
         12762        10         9         1         2         1         3
         12763        10         9         1         3         0         1
         12764        10         9         1         3         1         1
         12765        10         9         1         3         1         3
         12766        10         9         1         4         0         1
         12767        10         9         1         4         1         1
         12768        10         9         1         4         1         3
         12769        10         9         1         5         0         1
         12770        10         9         1         5         1         1
         12771        10         9         1         5         1         3
         12772        10         9         1         6         0         1
         12773        10         9         1         6         1         1
         12774        10         9         1         6         1         3
         12775        10         9         2         1         0         1
         12776        10         9         2         1         1         1
         12777        10         9         2         1         1         3
         12778        10         9         2         2         0         1
         12779        10         9         2         2         1         1
         12780        10         9         2         2         1         3
         12781        10         9         2         3         0         1
         12782        10         9         2         3         1         1
         12783        10         9         2         3         1         3
         12784        10         9         2         4         0         1
         12785        10         9         2         4         1         1
         12786        10         9         2         4         1         3
         12787        10         9         2         5         0         1
         12788        10         9         2         5         1         1
         12789        10         9         2         5         1         3
         12790        10         9         2         6         0         1
         12791        10         9         2         6         1         1
         12792        10         9         2         6         1         3
         12793        10         9         3         1         0         1
         12794        10         9         3         1         1         1
         12795        10         9         3         1         1         3
         12796        10         9         3         2         0         1
         12797        10         9         3         2         1         1
         12798        10         9         3         2         1         3
         12799        10         9         3         3         0         1
         12800        10         9         3         3         1         1
         12801        10         9         3         3         1         3
         12802        10         9         3         4         0         1
         12803        10         9         3         4         1         1
         12804        10         9         3         4         1         3
         12805        10         9         3         5         0         1
         12806        10         9         3         5         1         1
         12807        10         9         3         5         1         3
         12808        10         9         3         6         0         1
         12809        10         9         3         6         1         1
         12810        10         9         3         6         1         3
         12811        10         9         4         1         0         1
         12812        10         9         4         1         1         1
         12813        10         9         4         1         1         3
         12814        10         9         4         2         0         1
         12815        10         9         4         2         1         1
         12816        10         9         4         2         1         3
         12817        10         9         4         3         0         1
         12818        10         9         4         3         1         1
         12819        10         9         4         3         1         3
         12820        10         9         4         4         0         1
         12821        10         9         4         4         1         1
         12822        10         9         4         4         1         3
         12823        10         9         4         5         0         1
         12824        10         9         4         5         1         1
         12825        10         9         4         5         1         3
         12826        10         9         4         6         0         1
         12827        10         9         4         6         1         1
         12828        10         9         4         6         1         3
         12829        10         9         5         1         0         1
         12830        10         9         5         1         1         1
         12831        10         9         5         1         1         3
         12832        10         9         5         2         0         1
         12833        10         9         5         2         1         1
         12834        10         9         5         2         1         3
         12835        10         9         5         3         0         1
         12836        10         9         5         3         1         1
         12837        10         9         5         3         1         3
         12838        10         9         5         4         0         1
         12839        10         9         5         4         1         1
         12840        10         9         5         4         1         3
         12841        10         9         5         5         0         1
         12842        10         9         5         5         1         1
         12843        10         9         5         5         1         3
         12844        10         9         5         6         0         1
         12845        10         9         5         6         1         1
         12846        10         9         5         6         1         3
         12847        10         9         6         1         0         1
         12848        10         9         6         1         1         1
         12849        10         9         6         1         1         3
         12850        10         9         6         2         0         1
         12851        10         9         6         2         1         1
         12852        10         9         6         2         1         3
         12853        10         9         6         3         0         1
         12854        10         9         6         3         1         1
         12855        10         9         6         3         1         3
         12856        10         9         6         4         0         1
         12857        10         9         6         4         1         1
         12858        10         9         6         4         1         3
         12859        10         9         6         5         0         1
         12860        10         9         6         5         1         1
         12861        10         9         6         5         1         3
         12862        10         9         6         6         0         1
         12863        10         9         6         6         1         1
         12864        10         9         6         6         1         3
         12865        10         9         7         1         0         1
         12866        10         9         7         1         1         1
         12867        10         9         7         1         1         3
         12868        10         9         7         2         0         1
         12869        10         9         7         2         1         1
         12870        10         9         7         2         1         3
         12871        10         9         7         3         0         1
         12872        10         9         7         3         1         1
         12873        10         9         7         3         1         3
         12874        10         9         7         4         0         1
         12875        10         9         7         4         1         1
         12876        10         9         7         4         1         3
         12877        10         9         7         5         0         1
         12878        10         9         7         5         1         1
         12879        10         9         7         5         1         3
         12880        10         9         7         6         0         1
         12881        10         9         7         6         1         1
         12882        10         9         7         6         1         3
         12883        10         9         8         1         0         1
         12884        10         9         8         1         1         1
         12885        10         9         8         1         1         3
         12886        10         9         8         2         0         1
         12887        10         9         8         2         1         1
         12888        10         9         8         2         1         3
         12889        10         9         8         3         0         1
         12890        10         9         8         3         1         1
         12891        10         9         8         3         1         3
         12892        10         9         8         4         0         1
         12893        10         9         8         4         1         1
         12894        10         9         8         4         1         3
         12895        10         9         8         5         0         1
         12896        10         9         8         5         1         1
         12897        10         9         8         5         1         3
         12898        10         9         8         6         0         1
         12899        10         9         8         6         1         1
         12900        10         9         8         6         1         3
         12901        10         9         9         1         0         1
         12902        10         9         9         1         1         1
         12903        10         9         9         1         1         3
         12904        10         9         9         2         0         1
         12905        10         9         9         2         1         1
         12906        10         9         9         2         1         3
         12907        10         9         9         3         0         1
         12908        10         9         9         3         1         1
         12909        10         9         9         3         1         3
         12910        10         9         9         4         0         1
         12911        10         9         9         4         1         1
         12912        10         9         9         4         1         3
         12913        10         9         9         5         0         1
         12914        10         9         9         5         1         1
         12915        10         9         9         5         1         3
         12916        10         9         9         6         0         1
         12917        10         9         9         6         1         1
         12918        10         9         9         6         1         3
         12919        10         9        10         1         0         1
         12920        10         9        10         1         1         1
         12921        10         9        10         1         1         3
         12922        10         9        10         2         0         1
         12923        10         9        10         2         1         1
         12924        10         9        10         2         1         3
         12925        10         9        10         3         0         1
         12926        10         9        10         3         1         1
         12927        10         9        10         3         1         3
         12928        10         9        10         4         0         1
         12929        10         9        10         4         1         1
         12930        10         9        10         4         1         3
         12931        10         9        10         5         0         1
         12932        10         9        10         5         1         1
         12933        10         9        10         5         1         3
         12934        10         9        10         6         0         1
         12935        10         9        10         6         1         1
         12936        10         9        10         6         1         3
         12937        10         9        11         1         0         1
         12938        10         9        11         1         1         1
         12939        10         9        11         1         1         3
         12940        10         9        11         2         0         1
         12941        10         9        11         2         1         1
         12942        10         9        11         2         1         3
         12943        10         9        11         3         0         1
         12944        10         9        11         3         1         1
         12945        10         9        11         3         1         3
         12946        10         9        11         4         0         1
         12947        10         9        11         4         1         1
         12948        10         9        11         4         1         3
         12949        10         9        11         5         0         1
         12950        10         9        11         5         1         1
         12951        10         9        11         5         1         3
         12952        10         9        11         6         0         1
         12953        10         9        11         6         1         1
         12954        10         9        11         6         1         3
         12955        10         9        12         1         0         1
         12956        10         9        12         1         1         1
         12957        10         9        12         1         1         3
         12958        10         9        12         2         0         1
         12959        10         9        12         2         1         1
         12960        10         9        12         2         1         3
         12961        10         9        12         3         0         1
         12962        10         9        12         3         1         1
         12963        10         9        12         3         1         3
         12964        10         9        12         4         0         1
         12965        10         9        12         4         1         1
         12966        10         9        12         4         1         3
         12967        10         9        12         5         0         1
         12968        10         9        12         5         1         1
         12969        10         9        12         5         1         3
         12970        10         9        12         6         0         1
         12971        10         9        12         6         1         1
         12972        10         9        12         6         1         3
         12973        10         9        13         1         0         1
         12974        10         9        13         1         1         1
         12975        10         9        13         1         1         3
         12976        10         9        13         2         0         1
         12977        10         9        13         2         1         1
         12978        10         9        13         2         1         3
         12979        10         9        13         3         0         1
         12980        10         9        13         3         1         1
         12981        10         9        13         3         1         3
         12982        10         9        13         4         0         1
         12983        10         9        13         4         1         1
         12984        10         9        13         4         1         3
         12985        10         9        13         5         0         1
         12986        10         9        13         5         1         1
         12987        10         9        13         5         1         3
         12988        10         9        13         6         0         1
