 Total dimension =        38412
 n             i         j         k         Jab          Tab         Ttot
           212         1         1        36         0         1         1
           213         1         1        36         0         1         3
           214         1         1        36         1         0         1
           215         1         1        36         1         1         1
           216         1         1        36         1         1         3
           217         1         1        37         0         0         1
           218         1         1        37         0         1         1
           219         1         1        37         0         1         3
           220         1         1        37         1         0         1
           221         1         1        37         1         1         1
           222         1         1        37         1         1         3
           223         1         1        38         0         0         1
           224         1         1        38         0         1         1
           225         1         1        38         0         1         3
           226         1         1        38         1         0         1
           227         1         1        38         1         1         1
           228         1         1        38         1         1         3
           229         1         1        39         0         0         1
           230         1         1        39         0         1         1
           231         1         1        39         0         1         3
           232         1         1        39         1         0         1
           233         1         1        39         1         1         1
           234         1         1        39         1         1         3
           235         1         1        40         0         0         1
           236         1         1        40         0         1         1
           237         1         1        40         0         1         3
           238         1         1        40         1         0         1
           239         1         1        40         1         1         1
           240         1         1        40         1         1         3
           241         1         1        41         0         0         1
           242         1         1        41         0         1         1
           243         1         1        41         0         1         3
           244         1         1        41         1         0         1
           245         1         1        41         1         1         1
           246         1         1        41         1         1         3
           247         1         1        42         0         0         1
           248         1         1        42         0         1         1
           249         1         1        42         0         1         3
           250         1         1        42         1         0         1
           251         1         1        42         1         1         1
           252         1         1        42         1         1         3
           253         1         1        43         0         0         1
           254         1         1        43         0         1         1
           255         1         1        43         0         1         3
           256         1         1        43         1         0         1
           257         1         1        43         1         1         1
           258         1         1        43         1         1         3
           259         1         1        44         0         0         1
           260         1         1        44         0         1         1
           261         1         1        44         0         1         3
           262         1         1        44         1         0         1
           263         1         1        44         1         1         1
           264         1         1        44         1         1         3
           265         1         1        45         0         0         1
           266         1         1        45         0         1         1
           267         1         1        45         0         1         3
           268         1         1        45         1         0         1
           269         1         1        45         1         1         1
           270         1         1        45         1         1         3
           271         1         1        46         0         0         1
           272         1         1        46         0         1         1
           273         1         1        46         0         1         3
           274         1         1        46         1         0         1
           275         1         1        46         1         1         1
           276         1         1        46         1         1         3
           277         1         1        47         0         0         1
           278         1         1        47         0         1         1
           279         1         1        47         0         1         3
           280         1         1        47         1         0         1
           281         1         1        47         1         1         1
           282         1         1        47         1         1         3
           283         1         1        48         0         0         1
           284         1         1        48         0         1         1
           285         1         1        48         0         1         3
           286         1         1        48         1         0         1
           287         1         1        48         1         1         1
           288         1         1        48         1         1         3
           289         1         1        49         0         0         1
           290         1         1        49         0         1         1
           291         1         1        49         0         1         3
           292         1         1        49         1         0         1
           293         1         1        49         1         1         1
           294         1         1        49         1         1         3
           295         1         1        50         0         0         1
           296         1         1        50         0         1         1
           297         1         1        50         0         1         3
           298         1         1        50         1         0         1
           299         1         1        50         1         1         1
           300         1         1        50         1         1         3
           301         1         1        51         0         0         1
           302         1         1        51         0         1         1
           303         1         1        51         0         1         3
           304         1         1        51         1         0         1
           305         1         1        51         1         1         1
           306         1         1        51         1         1         3
           307         1         1        52         0         0         1
           308         1         1        52         0         1         1
           309         1         1        52         0         1         3
           310         1         1        52         1         0         1
           311         1         1        52         1         1         1
           312         1         1        52         1         1         3
           313         1         1        53         0         0         1
           314         1         1        53         0         1         1
           315         1         1        53         0         1         3
           316         1         1        53         1         0         1
           317         1         1        53         1         1         1
           318         1         1        53         1         1         3
           319         1         1        54         0         0         1
           320         1         1        54         0         1         1
           321         1         1        54         0         1         3
           322         1         1        54         1         0         1
           323         1         1        54         1         1         1
           324         1         1        54         1         1         3
           325         1         1        55         0         0         1
           326         1         1        55         0         1         1
           327         1         1        55         0         1         3
           328         1         1        55         1         0         1
           329         1         1        55         1         1         1
           330         1         1        55         1         1         3
           331         1         1        56         0         0         1
           332         1         1        56         0         1         1
           333         1         1        56         0         1         3
           334         1         1        56         1         0         1
           335         1         1        56         1         1         1
           336         1         1        56         1         1         3
           337         1         1        57         0         0         1
           338         1         1        57         0         1         1
           339         1         1        57         0         1         3
           340         1         1        57         1         0         1
           341         1         1        57         1         1         1
           342         1         1        57         1         1         3
           343         1         1        58         0         0         1
           344         1         1        58         0         1         1
           345         1         1        58         0         1         3
           346         1         1        58         1         0         1
           347         1         1        58         1         1         1
           348         1         1        58         1         1         3
           349         1         1        59         0         0         1
           350         1         1        59         0         1         1
           351         1         1        59         0         1         3
           352         1         1        59         1         0         1
           353         1         1        59         1         1         1
           354         1         1        59         1         1         3
           355         1         1        60         0         0         1
           356         1         1        60         0         1         1
           357         1         1        60         0         1         3
           358         1         1        60         1         0         1
           359         1         1        60         1         1         1
           360         1         1        60         1         1         3
           361         1         1        61         0         0         1
           362         1         1        61         0         1         1
           363         1         1        61         0         1         3
           364         1         1        61         1         0         1
           365         1         1        61         1         1         1
           366         1         1        61         1         1         3
           367         1         1        62         0         0         1
           368         1         1        62         0         1         1
           369         1         1        62         0         1         3
           370         1         1        62         1         0         1
           371         1         1        62         1         1         1
           372         1         1        62         1         1         3
           373         1         1        63         0         0         1
           374         1         1        63         0         1         1
           375         1         1        63         0         1         3
           376         1         1        63         1         0         1
           377         1         1        63         1         1         1
           378         1         1        63         1         1         3
           379         1         1        64         0         0         1
           380         1         1        64         0         1         1
           381         1         1        64         0         1         3
           382         1         1        64         1         0         1
           383         1         1        64         1         1         1
           384         1         1        64         1         1         3
           385         1         1        65         0         0         1
           386         1         1        65         0         1         1
           387         1         1        65         0         1         3
           388         1         1        65         1         0         1
           389         1         1        65         1         1         1
           390         1         1        65         1         1         3
           391         1         1        66         0         0         1
           392         1         1        66         0         1         1
           393         1         1        66         0         1         3
           394         1         1        66         1         0         1
           395         1         1        66         1         1         1
           396         1         1        66         1         1         3
           397         2         1         1         0         0         1
           398         2         1         1         0         1         1
           399         2         1         1         0         1         3
           400         2         1         1         1         0         1
           401         2         1         1         1         1         1
           402         2         1         1         1         1         3
           403         2         1         2         0         0         1
           404         2         1         2         0         1         1
