 phys M1: E_i      B_i
   25.8013542259439       1.569228289526823E-003
   28.5682772557940       7.335793220790287E-006
   29.1240664993287       8.367310424894484E-002
   31.3706910741001       7.294571978585480E-003
   36.7964423295602       2.021890802402400E-004
   39.1110830393702       2.223313410134121E-003
   40.8478570221245       2.509114027610069E-003
   42.3596858995954       7.262748493935678E-002
   42.7804408630466       6.302254325551992E-004
   45.1805550171869       1.883484975065419E-003
   48.8119178962057       3.335602045021467E-003
   49.3756610740091       1.970514562132075E-004
   52.2774749275318       4.755033196050225E-005
   54.8788381479802       2.046163161641563E-003
