 orbital M1: E_i      B_i
   25.8013542259439       1.428327552456573E-003
   28.5682772557940       2.256661548839289E-006
   29.1240664993287       1.127995651690961E-003
   31.3706910741001       1.069697719923560E-004
   36.7964423295602       1.979862232247053E-004
   39.1110830393702       1.539042847588391E-005
   40.8478570221245       1.059545828770406E-003
   42.3596858995954       9.017569088627162E-004
   42.7804408630466       9.457695362087859E-006
   45.1805550171869       2.328065635503620E-005
   48.8119178962057       1.049411922364769E-004
   49.3756610740091       4.171153869378370E-005
   52.2774749275318       2.148785032647049E-005
   54.8788381479802       2.650297882960739E-005
