 Squeeze: E_i      B_i
  0.374440704758204        13.7081726583356     
   12.8475161887622        38.9150514940926     
   16.9886622531114       1.064817239723874E-003
   22.8966955667760       3.609869141548846E-002
   23.8507918388598        3.25358034628925     
   26.4977235717784       2.648559278356799E-002
   29.2287119376035       0.214799681836998     
   29.7032849603837        3.86389400383950     
   34.9334418142249       2.174439159355217E-003
   36.5177234246718       0.856894578057727     
   52.0647104958264        68.4387085467925     
   61.1176275272887       3.394691981375219E-003
   63.4376699473064       3.042354446487755E-002
   64.2128021152255       3.494539325681540E-005
