 isE3: E_i      B_i
   7.46314451839210        328.890819863577     
   11.9722946601374       3.152777819403028E-002
   19.3714147035517        112.042311212188     
   21.0689978153851       0.402964931193265     
   30.2120137017921        70.2013691556169     
   34.0181595689948       8.330853488443289E-002
   54.0202234268939        82.2158361271430     
   56.1687025840663        1.00626339074930     
   65.9759386238106        5.65966664793242     
   66.5216142714263        4.86918980980832     
