 physE1: E_i      B_i
  0.374440704758204        3.94984591521310     
   12.8475161887622       5.591629537104959E-003
   16.9886622531114       3.697768116756391E-002
   22.8966955667760       3.193281638671664E-002
   23.8507918388598       6.702128809546261E-003
   26.4977235717784        2.54059246340529     
   29.2287119376035       0.980269004896568     
   29.7032849603837       7.352239658262714E-002
   34.9334418142249       0.375361127768961     
   36.5177234246718       6.810817789026860E-003
   52.0647104958264       1.099293331605921E-003
   61.1176275272887       2.263456056573479E-003
   63.4376699473064       3.160919469808234E-004
   64.2128021152255       1.263872342527404E-002
