 E1 transition densities
 TDA phonon=  0.374440704758204     
  0.000000000000000E+000  0.000000000000000E+000  0.000000000000000E+000
  2.400000000000000E-002  2.048094106190353E-008  2.107921342539770E-008
  4.800000000000000E-002  3.270675513041852E-007  3.366168846571375E-007
  7.199999999999999E-002  1.650492373260794E-006  1.698641958208687E-006
  9.600000000000000E-002  5.193026680685445E-006  5.344347475524736E-006
  0.120000000000000       1.260521813195362E-005  1.297197753925166E-005
  0.144000000000000       2.595364620471089E-005  2.670740702387485E-005
  0.168000000000000       4.768001469566741E-005  4.906174835353703E-005
  0.192000000000000       8.055198691930329E-005  8.288041002526093E-005
  0.216000000000000       1.276062519934639E-004  1.312841181053837E-004
  0.240000000000000       1.920843890252493E-004  1.976024938932667E-004
  0.264000000000000       2.773621694126757E-004  2.853008575951336E-004
  0.288000000000000       3.868730052064716E-004  3.979009984960186E-004
  0.312000000000000       5.240263129327017E-004  5.388967161271644E-004
  0.336000000000000       6.921216169170318E-004  7.116649937273622E-004
  0.360000000000000       8.942592634922229E-004  9.193737143820520E-004
  0.384000000000000       1.133248657093372E-003  1.164886871155031E-003
  0.408000000000000       1.411514960800284E-003  1.450668254938931E-003
  0.432000000000000       1.731005227094214E-003  1.778684627353018E-003
  0.456000000000000       2.093094939251587E-003  2.150309400599501E-003
  0.480000000000000       2.498495949769953E-003  2.566227851622087E-003
  0.504000000000000       2.947166799457294E-003  3.026344894143647E-003
  0.528000000000000       3.438226389337036E-003  3.529696419225654E-003
  0.552000000000000       3.969871957426131E-003  4.074365193003528E-003
  0.576000000000000       4.539302283905235E-003  4.657402269401679E-003
  0.600000000000000       5.142647011464715E-003  5.274754836189830E-003
  0.624000000000000       5.774902922994376E-003  5.921201365053049E-003
  0.648000000000000       6.429877966673082E-003  6.590294880828237E-003
  0.672000000000000       7.100143759354633E-003  7.274315102192962E-003
  0.696000000000000       7.776997233446498E-003  7.964230136425682E-003
  0.720000000000000       8.450432020800955E-003  8.649668334992951E-003
  0.744000000000000       9.109120090096220E-003  9.318900835316262E-003
  0.768000000000000       9.740404072435387E-003  9.958835227830200E-003
  0.792000000000000       1.033030062412756E-002  1.055502069710646E-002
  0.816000000000000       1.086351508656589E-002  1.109166489215957E-002
  0.840000000000000       1.132346761153278E-002  1.155166268486916E-002
  0.864000000000000       1.169233082691451E-002  1.191663687756949E-002
  0.888000000000000       1.195107902347821E-002  1.216699082209861E-002
  0.912000000000000       1.207954874884100E-002  1.228197281380073E-002
  0.936000000000000       1.205651060083060E-002  1.223975202596528E-002
  0.960000000000000       1.185975191987465E-002  1.201750565378450E-002
  0.984000000000000       1.146616998962448E-002  1.159151684291761E-002
   1.00800000000000       1.085187526745967E-002  1.093728288694240E-002
   1.03200000000000       9.992304082539618E-003  1.002963309109586E-002
   1.05600000000000       8.862340159352737E-003  8.842855617465140E-003
   1.08000000000000       7.436444249892685E-003  7.350832549849504E-003
   1.10400000000000       5.688791088265949E-003  5.527182345489634E-003
   1.12800000000000       3.593412818244655E-003  3.345408776314021E-003
   1.15200000000000       1.124347987517232E-003  7.790554047851332E-004
   1.17600000000000      -1.744204847410650E-003 -2.198135410716048E-003
   1.20000000000000      -5.037729904177621E-003 -5.612060028375811E-003
   1.22400000000000      -8.781234378724146E-003 -9.488088634951590E-003
   1.24800000000000      -1.299908713090899E-002 -1.385089906483675E-002
   1.27200000000000      -1.771485693071020E-002 -1.872431045110862E-002
   1.29600000000000      -2.295115135481638E-002 -2.413111784225358E-002
   1.32000000000000      -2.872945742587252E-002 -3.009292891839795E-002
   1.34400000000000      -3.506998508090035E-002 -3.663000393242098E-002
   1.36800000000000      -4.199151454155996E-002 -4.376109998440179E-002
   1.39200000000000      -4.951124863710649E-002 -5.150332071263845E-002
   1.41600000000000      -5.764467110134726E-002 -5.987197245122879E-002
   1.44000000000000      -6.640541182788522E-002 -6.888042786322233E-002
   1.46400000000000      -7.580512002379824E-002 -7.853999801003052E-002
   1.48800000000000      -8.585334615101198E-002 -8.885981376251960E-002
   1.51200000000000      -9.655743348744045E-002 -9.984671739751383E-002
   1.53600000000000      -0.107922420076954      -0.111505165155808     
   1.56000000000000      -0.119950951768926      -0.123837141464807     
   1.58400000000000      -0.132643206975070      -0.136842085451178     
   1.60800000000000      -0.145996833694060      -0.150516830287035     
   1.63200000000000      -0.160006899273723      -0.164855555827856     
   1.65600000000000      -0.174665853296953      -0.179849754912235     
   1.68000000000000      -0.189963503891598      -0.195488213603339     
   1.70400000000000      -0.205887007677153      -0.211757005560347     
   1.72800000000000      -0.222420873472649      -0.228639500635837     
   1.75200000000000      -0.239546979801503      -0.246116387702733     
   1.77600000000000      -0.257244606140815      -0.264165711622822     
   1.80000000000000      -0.275490477775346      -0.282762924178482     
   1.82400000000000      -0.294258824030848      -0.301880948700987     
   1.84800000000000      -0.313521449578045      -0.321490258043021     
   1.87200000000000      -0.333247818418084      -0.341558965460514     
   1.89600000000000      -0.353405150083139      -0.362052927890189     
   1.92000000000000      -0.373958527512577      -0.382935861034706     
   1.94400000000000      -0.394871015996219      -0.404169465597595     
   1.96800000000000      -0.416103792512103      -0.425713563945623     
   1.99200000000000      -0.437616284727217      -0.447526246417299     
   2.01600000000000      -0.459366318876237      -0.469564026443170     
   2.04000000000000      -0.481310275685681      -0.491782003596702     
   2.06400000000000      -0.503403253469331      -0.514134033654140     
   2.08800000000000      -0.525599237485420      -0.536572904707899     
   2.11200000000000      -0.547851274617187      -0.559050518350982     
   2.13600000000000      -0.570111652415912      -0.581518074929617     
