 ivE2: E_i      B_i
   24.8252950598861       4.234880274683337E-004
   25.9767136451823       1.984135426390712E-002
   28.4105716769787        2.48374346287755     
   35.7601241490927        3.69773452665049     
   36.6604428976036       9.272211471728035E-002
   37.0972380794480        1.11008944884204     
   37.4930036414614        16.0200820153699     
   38.7966589924083        1.90516377336949     
   39.6124123866427       1.168523607312263E-002
   42.4238100692119       6.615309945696010E-002
   43.2853412489645       0.234470625842864     
   44.6415981835475        30.6822191671305     
   46.6519958244359       0.360792974754937     
   47.4166361405806       5.611189659903781E-002
   54.1061855868580        13.0339655200849     
   55.4946866384764       0.237376648552017     
