 isE1: E_i      B_i
  0.374440704758204        3.95919282179974     
   12.8475161887622       5.147388380859147E-003
   16.9886622531114       3.152092224933207E-005
   22.8966955667760       8.065394501357265E-005
   23.8507918388598       4.409344324420173E-003
   26.4977235717784       2.381098541742117E-004
   29.2287119376035       1.203126215550744E-004
   29.7032849603837       1.184106880889379E-002
   34.9334418142249       4.550098773671586E-006
   36.5177234246718       3.686741599797549E-004
   52.0647104958264       4.423316639864593E-004
   61.1176275272887       5.078612019635383E-006
   63.4376699473064       1.135533469262317E-004
   64.2128021152255       1.405792213048028E-005
