 physE3: E_i      B_i
   7.46314451839210        339.985228878277     
   11.9722946601374        126.236884715627     
   19.3714147035517        130.193221453850     
   21.0689978153851        109.537794518828     
   30.2120137017921        82.9457194054385     
   34.0181595689948        167.139240834184     
   54.0202234268939        107.217037614529     
   56.1687025840663        75.0045668829309     
   65.9759386238106        73.8992715086343     
   66.5216142714263        18.4177858354848     
