 ivE1: E_i      B_i
  0.374440704758204       5.523091752926861E-006
   12.8475161887622       9.192400396194295E-006
   16.9886622531114       3.484997017726342E-002
   22.8966955667760       3.522314795852251E-002
   23.8507918388598       2.391240542310455E-004
   26.4977235717784        2.49163951305631     
   29.2287119376035        1.00210923775815     
   29.7032849603837       2.635215268184923E-002
   34.9334418142249       0.372751921791016     
   36.5177234246718       4.010282251214656E-003
   52.0647104958264       1.469892028802247E-004
   61.1176275272887       2.054103186437807E-003
   63.4376699473064       8.085558296069824E-004
   64.2128021152255       1.180975302109234E-002
