 spin M1: E_i      B_i
   25.8013542259439       5.991798318487568E-003
   28.5682772557940       1.772987512047627E-005
   29.1240664993287       0.104231272082713     
   31.3706910741001       9.168232104127226E-003
   36.7964423295602       8.003285359849001E-004
   39.1110830393702       2.608664625819367E-003
   40.8478570221245       6.829654368405018E-003
   42.3596858995954       8.971470894897227E-002
   42.7804408630466       7.940914198001667E-004
   45.1805550171869       2.325567572458804E-003
   48.8119178962057       4.623830278395443E-003
   49.3756610740091       5.744207012991382E-005
   52.2774749275318       1.329679692768028E-004
   54.8788381479802       2.538410357632946E-003
